Name,Polarity,Length,Subjectivity
Ant-Man_2015,0.1870,629,0.5376
Ant-Man_2015,0.1588,1258,0.6157
Ant-Man_2015,0.0943,1887,0.5629
Ant-Man_2015,0.1543,2516,0.5435
Ant-Man_2015,0.0150,3145,0.5327
Ant-Man_2015,0.1351,3774,0.5293
Ant-Man_2015,0.0229,4403,0.4656
Ant-Man_2015,0.0382,5032,0.5357
Ant-Man_2015,0.0833,5661,0.4870
Ant-Man_2015,0.1101,6290,0.5596
Ant-Man_2015,0.2431,6919,0.5833
Ant-Man_2015,0.1684,7548,0.5746
Ant-Man_2015,0.1942,8177,0.6397
Ant-Man_2015,0.0596,8806,0.6181
Ant-Man_2015,0.0152,9435,0.6071
