Name,Polarity,Length,Subjectivity
Ant-Man_and_the_Wasp_2018,0.2138,688,0.5843
Ant-Man_and_the_Wasp_2018,0.1540,1376,0.5518
Ant-Man_and_the_Wasp_2018,-0.1293,2064,0.6459
Ant-Man_and_the_Wasp_2018,0.2271,2752,0.4228
Ant-Man_and_the_Wasp_2018,0.0842,3440,0.5621
Ant-Man_and_the_Wasp_2018,0.0575,4128,0.4582
Ant-Man_and_the_Wasp_2018,0.1824,4816,0.6922
Ant-Man_and_the_Wasp_2018,0.1633,5504,0.5814
Ant-Man_and_the_Wasp_2018,0.0775,6192,0.6069
Ant-Man_and_the_Wasp_2018,0.1050,6880,0.4542
Ant-Man_and_the_Wasp_2018,-0.0403,7568,0.6500
Ant-Man_and_the_Wasp_2018,0.0782,8256,0.5761
Ant-Man_and_the_Wasp_2018,0.1810,8944,0.6033
Ant-Man_and_the_Wasp_2018,0.1498,9632,0.5325
Ant-Man_and_the_Wasp_2018,0.1632,10320,0.6334
