Name,Polarity,Length,Subjectivity
Avengers_Age_of_Ultron_2015,0.0236,753,0.5088
Avengers_Age_of_Ultron_2015,0.1751,1506,0.5077
Avengers_Age_of_Ultron_2015,-0.0143,2259,0.6012
Avengers_Age_of_Ultron_2015,0.0426,3012,0.6520
Avengers_Age_of_Ultron_2015,-0.1136,3765,0.6063
Avengers_Age_of_Ultron_2015,-0.0956,4518,0.4901
Avengers_Age_of_Ultron_2015,0.0109,5271,0.5265
Avengers_Age_of_Ultron_2015,0.1469,6024,0.5261
Avengers_Age_of_Ultron_2015,0.0282,6777,0.5889
Avengers_Age_of_Ultron_2015,0.0621,7530,0.4749
Avengers_Age_of_Ultron_2015,0.0555,8283,0.5658
Avengers_Age_of_Ultron_2015,0.0562,9036,0.5354
Avengers_Age_of_Ultron_2015,0.1179,9789,0.4711
Avengers_Age_of_Ultron_2015,0.1270,10542,0.5590
Avengers_Age_of_Ultron_2015,0.0870,11295,0.5167
