Name,Polarity,Length,Subjectivity
Avengers_Endgame_2019,0.1687,754,0.4877
Avengers_Endgame_2019,0.0847,1508,0.5161
Avengers_Endgame_2019,0.0544,2262,0.5356
Avengers_Endgame_2019,0.0568,3016,0.5287
Avengers_Endgame_2019,0.1230,3770,0.6171
Avengers_Endgame_2019,0.1545,4524,0.5874
Avengers_Endgame_2019,0.0243,5278,0.5039
Avengers_Endgame_2019,0.1584,6032,0.5454
Avengers_Endgame_2019,0.1106,6786,0.5807
Avengers_Endgame_2019,0.0003,7540,0.4717
Avengers_Endgame_2019,0.0728,8294,0.4929
Avengers_Endgame_2019,0.1821,9048,0.5504
Avengers_Endgame_2019,0.2361,9802,0.5111
Avengers_Endgame_2019,0.0268,10556,0.5117
Avengers_Endgame_2019,0.1911,11310,0.5895
