Name,Polarity,Length,Subjectivity
Avengers_Infinity_War_2018,-0.0158,599,0.4749
Avengers_Infinity_War_2018,0.1558,1198,0.5179
Avengers_Infinity_War_2018,0.1280,1797,0.5585
Avengers_Infinity_War_2018,0.0023,2396,0.6209
Avengers_Infinity_War_2018,0.0187,2995,0.6523
Avengers_Infinity_War_2018,0.1357,3594,0.6892
Avengers_Infinity_War_2018,0.2338,4193,0.5920
Avengers_Infinity_War_2018,0.0793,4792,0.4645
Avengers_Infinity_War_2018,0.0778,5391,0.5627
Avengers_Infinity_War_2018,0.0200,5990,0.5820
Avengers_Infinity_War_2018,0.1783,6589,0.4810
Avengers_Infinity_War_2018,0.1745,7188,0.5304
Avengers_Infinity_War_2018,0.1060,7787,0.4541
Avengers_Infinity_War_2018,0.2073,8386,0.5630
Avengers_Infinity_War_2018,0.0621,8985,0.4924
