Name,Polarity,Length,Subjectivity
Black_Widow_2021,0.1343,572,0.4528
Black_Widow_2021,0.0057,1144,0.3060
Black_Widow_2021,0.1320,1716,0.4859
Black_Widow_2021,0.0653,2288,0.4024
Black_Widow_2021,0.0989,2860,0.5763
Black_Widow_2021,0.1525,3432,0.4142
Black_Widow_2021,0.0363,4004,0.4222
Black_Widow_2021,0.0867,4576,0.4700
Black_Widow_2021,0.2921,5148,0.5617
Black_Widow_2021,0.2444,5720,0.5247
Black_Widow_2021,-0.0009,6292,0.4533
Black_Widow_2021,0.1256,6864,0.5473
Black_Widow_2021,-0.0193,7436,0.5612
Black_Widow_2021,0.0618,8008,0.5703
Black_Widow_2021,0.1068,8580,0.4970
