Name,Polarity,Length,Subjectivity
Captain_America:_The_First_Avenger_(2011),0.0827,499,0.5926
Captain_America:_The_First_Avenger_(2011),0.1094,998,0.4799
Captain_America:_The_First_Avenger_(2011),0.2661,1497,0.4674
Captain_America:_The_First_Avenger_(2011),0.1751,1996,0.4279
Captain_America:_The_First_Avenger_(2011),0.2809,2495,0.6232
Captain_America:_The_First_Avenger_(2011),-0.0666,2994,0.5329
Captain_America:_The_First_Avenger_(2011),0.1728,3493,0.5339
Captain_America:_The_First_Avenger_(2011),0.2816,3992,0.5082
Captain_America:_The_First_Avenger_(2011),0.1652,4491,0.5493
Captain_America:_The_First_Avenger_(2011),0.2002,4990,0.5345
Captain_America:_The_First_Avenger_(2011),0.1022,5489,0.4551
Captain_America:_The_First_Avenger_(2011),0.0584,5988,0.4875
Captain_America:_The_First_Avenger_(2011),-0.0270,6487,0.5230
Captain_America:_The_First_Avenger_(2011),0.0213,6986,0.4535
Captain_America:_The_First_Avenger_(2011),0.0094,7485,0.4847
