Name,Polarity,Length,Subjectivity
Captain_America_Civil_War_2016,0.1338,722,0.5247
Captain_America_Civil_War_2016,0.0710,1444,0.5317
Captain_America_Civil_War_2016,0.0352,2166,0.4925
Captain_America_Civil_War_2016,0.0935,2888,0.6036
Captain_America_Civil_War_2016,0.0743,3610,0.5473
Captain_America_Civil_War_2016,0.0585,4332,0.4351
Captain_America_Civil_War_2016,0.0078,5054,0.5326
Captain_America_Civil_War_2016,0.0993,5776,0.4271
Captain_America_Civil_War_2016,0.1634,6498,0.6128
Captain_America_Civil_War_2016,0.0560,7220,0.5979
Captain_America_Civil_War_2016,0.1502,7942,0.5450
Captain_America_Civil_War_2016,0.0582,8664,0.4971
Captain_America_Civil_War_2016,0.0331,9386,0.5053
Captain_America_Civil_War_2016,0.0544,10108,0.5511
Captain_America_Civil_War_2016,0.1863,10830,0.4989
