Name,Polarity,Length,Subjectivity
Captain_America_The_Winter_Soldier_2014,0.1574,591,0.4470
Captain_America_The_Winter_Soldier_2014,0.3273,1182,0.7104
Captain_America_The_Winter_Soldier_2014,0.1365,1773,0.4893
Captain_America_The_Winter_Soldier_2014,0.0571,2364,0.5367
Captain_America_The_Winter_Soldier_2014,0.1750,2955,0.5483
Captain_America_The_Winter_Soldier_2014,0.0817,3546,0.5302
Captain_America_The_Winter_Soldier_2014,0.0315,4137,0.5549
Captain_America_The_Winter_Soldier_2014,0.0328,4728,0.4870
Captain_America_The_Winter_Soldier_2014,0.0724,5319,0.5198
Captain_America_The_Winter_Soldier_2014,0.2707,5910,0.5904
Captain_America_The_Winter_Soldier_2014,0.0231,6501,0.5247
Captain_America_The_Winter_Soldier_2014,0.1381,7092,0.6181
Captain_America_The_Winter_Soldier_2014,0.0546,7683,0.5893
Captain_America_The_Winter_Soldier_2014,0.0667,8274,0.4706
Captain_America_The_Winter_Soldier_2014,0.1763,8865,0.3767
