Name,Polarity,Length,Subjectivity
Captain_Marvel_2019,0.0663,508,0.4516
Captain_Marvel_2019,0.1912,1016,0.5751
Captain_Marvel_2019,0.2194,1524,0.5324
Captain_Marvel_2019,0.1088,2032,0.5841
Captain_Marvel_2019,0.0679,2540,0.5208
Captain_Marvel_2019,0.3022,3048,0.6314
Captain_Marvel_2019,0.2191,3556,0.5488
Captain_Marvel_2019,0.0975,4064,0.4469
Captain_Marvel_2019,0.2123,4572,0.5896
Captain_Marvel_2019,0.0541,5080,0.4801
Captain_Marvel_2019,0.0908,5588,0.5083
Captain_Marvel_2019,0.1912,6096,0.5391
Captain_Marvel_2019,0.0971,6604,0.4846
Captain_Marvel_2019,0.2727,7112,0.5781
Captain_Marvel_2019,0.3061,7620,0.5701
