Name,Polarity,Length,Subjectivity
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.3244,411,0.6235
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.1108,822,0.5649
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.1604,1233,0.5329
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.4307,1644,0.7386
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.0869,2055,0.5875
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.0729,2466,0.5727
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.0625,2877,0.5713
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.1094,3288,0.6297
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.1520,3699,0.5458
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.0280,4110,0.5592
Doctor_Strange_in_the_Multiverse_of_Madness_2022,-0.0570,4521,0.5247
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.0636,4932,0.4834
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.1546,5343,0.5813
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.2524,5754,0.5287
Doctor_Strange_in_the_Multiverse_of_Madness_2022,0.3808,6165,0.5509
