Name,Polarity,Length,Subjectivity
Eternals_(2021),0.0944,702,0.5451
Eternals_(2021),0.1014,1404,0.5827
Eternals_(2021),0.0934,2106,0.5370
Eternals_(2021),0.1786,2808,0.5264
Eternals_(2021),0.2632,3510,0.5920
Eternals_(2021),0.2481,4212,0.6687
Eternals_(2021),0.0505,4914,0.5749
Eternals_(2021),0.1219,5616,0.5792
Eternals_(2021),0.0748,6318,0.4906
Eternals_(2021),0.0556,7020,0.6088
Eternals_(2021),0.1724,7722,0.5634
Eternals_(2021),0.1053,8424,0.5607
Eternals_(2021),0.1110,9126,0.5839
Eternals_(2021),0.0670,9828,0.5694
Eternals_(2021),0.0440,10530,0.6160
