Name,Polarity,Length,Subjectivity
Guardians_of_the_Galaxy_2014,0.2152,537,0.4689
Guardians_of_the_Galaxy_2014,-0.2131,1074,0.6270
Guardians_of_the_Galaxy_2014,-0.1030,1611,0.5798
Guardians_of_the_Galaxy_2014,0.0177,2148,0.4853
Guardians_of_the_Galaxy_2014,0.1202,2685,0.5257
Guardians_of_the_Galaxy_2014,0.1091,3222,0.6044
Guardians_of_the_Galaxy_2014,0.0869,3759,0.5732
Guardians_of_the_Galaxy_2014,0.0340,4296,0.5626
Guardians_of_the_Galaxy_2014,0.1482,4833,0.5966
Guardians_of_the_Galaxy_2014,0.0228,5370,0.4264
Guardians_of_the_Galaxy_2014,-0.0134,5907,0.5133
Guardians_of_the_Galaxy_2014,-0.0095,6444,0.4653
Guardians_of_the_Galaxy_2014,-0.0720,6981,0.5954
Guardians_of_the_Galaxy_2014,-0.2236,7518,0.6475
Guardians_of_the_Galaxy_2014,0.1019,8055,0.5794
