Name,Polarity,Length,Subjectivity
Guardians_of_the_Galaxy_Vol._2_2017,0.1441,623,0.5494
Guardians_of_the_Galaxy_Vol._2_2017,0.0199,1246,0.6547
Guardians_of_the_Galaxy_Vol._2_2017,-0.0065,1869,0.6574
Guardians_of_the_Galaxy_Vol._2_2017,0.0950,2492,0.5559
Guardians_of_the_Galaxy_Vol._2_2017,0.0590,3115,0.5953
Guardians_of_the_Galaxy_Vol._2_2017,0.0896,3738,0.5956
Guardians_of_the_Galaxy_Vol._2_2017,0.1450,4361,0.5573
Guardians_of_the_Galaxy_Vol._2_2017,-0.0052,4984,0.6455
Guardians_of_the_Galaxy_Vol._2_2017,0.1725,5607,0.5691
Guardians_of_the_Galaxy_Vol._2_2017,0.2026,6230,0.5720
Guardians_of_the_Galaxy_Vol._2_2017,0.0629,6853,0.6180
Guardians_of_the_Galaxy_Vol._2_2017,0.1115,7476,0.5498
Guardians_of_the_Galaxy_Vol._2_2017,0.0931,8099,0.5500
Guardians_of_the_Galaxy_Vol._2_2017,0.2135,8722,0.6298
Guardians_of_the_Galaxy_Vol._2_2017,0.0410,9345,0.6481
