Name,Polarity,Length,Subjectivity
Iron_Man_2008,0.1876,667,0.6067
Iron_Man_2008,0.2106,1334,0.5317
Iron_Man_2008,0.1543,2001,0.6067
Iron_Man_2008,0.2156,2668,0.5749
Iron_Man_2008,0.1391,3335,0.5061
Iron_Man_2008,0.2231,4002,0.5310
Iron_Man_2008,0.1656,4669,0.5371
Iron_Man_2008,0.1820,5336,0.5537
Iron_Man_2008,0.2034,6003,0.5220
Iron_Man_2008,0.1002,6670,0.5237
Iron_Man_2008,0.0329,7337,0.4735
Iron_Man_2008,0.0317,8004,0.5780
Iron_Man_2008,0.1445,8671,0.5476
Iron_Man_2008,0.2002,9338,0.6274
Iron_Man_2008,0.1343,10005,0.6339
