Name,Polarity,Length,Subjectivity
Iron_Man_2_2010,0.2062,754,0.5627
Iron_Man_2_2010,0.0826,1508,0.5289
Iron_Man_2_2010,0.1425,2262,0.5088
Iron_Man_2_2010,0.1399,3016,0.5850
Iron_Man_2_2010,0.2072,3770,0.5641
Iron_Man_2_2010,0.1574,4524,0.5386
Iron_Man_2_2010,0.1163,5278,0.5916
Iron_Man_2_2010,0.1685,6032,0.6684
Iron_Man_2_2010,0.2895,6786,0.5879
Iron_Man_2_2010,0.1973,7540,0.5206
Iron_Man_2_2010,0.0988,8294,0.5524
Iron_Man_2_2010,0.1859,9048,0.5448
Iron_Man_2_2010,0.1595,9802,0.5191
Iron_Man_2_2010,0.1450,10556,0.5408
Iron_Man_2_2010,0.1620,11310,0.5715
