Name,Polarity,Length,Subjectivity
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.1013,613,0.5502
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.0484,1226,0.5445
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,-0.0478,1839,0.5359
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.1297,2452,0.4878
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.1152,3065,0.4894
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.0206,3678,0.4201
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.0790,4291,0.5380
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.1897,4904,0.5066
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.0770,5517,0.5456
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.1068,6130,0.5726
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,-0.0217,6743,0.5243
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,-0.1195,7356,0.4652
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,-0.0947,7969,0.5859
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.0100,8582,0.6006
Shang-Chi_and_the_Legend_of_the_Ten_Rings_2021,0.2588,9195,0.6945
