Name,Polarity,Length,Subjectivity
Spider-Man_Far_from_Home_2019,0.1478,760,0.5566
Spider-Man_Far_from_Home_2019,0.0257,1520,0.5735
Spider-Man_Far_from_Home_2019,0.2462,2280,0.5850
Spider-Man_Far_from_Home_2019,0.1420,3040,0.5417
Spider-Man_Far_from_Home_2019,0.1436,3800,0.5877
Spider-Man_Far_from_Home_2019,0.1507,4560,0.5702
Spider-Man_Far_from_Home_2019,0.3009,5320,0.5461
Spider-Man_Far_from_Home_2019,0.1238,6080,0.5617
Spider-Man_Far_from_Home_2019,0.2425,6840,0.5739
Spider-Man_Far_from_Home_2019,0.2084,7600,0.5606
Spider-Man_Far_from_Home_2019,0.1926,8360,0.6133
Spider-Man_Far_from_Home_2019,0.2314,9120,0.5503
Spider-Man_Far_from_Home_2019,0.3076,9880,0.5352
Spider-Man_Far_from_Home_2019,0.2013,10640,0.6134
Spider-Man_Far_from_Home_2019,0.2555,11400,0.5944
