Name,Polarity,Length,Subjectivity
Spider-Man_Homecoming_2017,0.1043,832,0.5867
Spider-Man_Homecoming_2017,0.1026,1664,0.6217
Spider-Man_Homecoming_2017,0.2021,2496,0.5719
Spider-Man_Homecoming_2017,0.1990,3328,0.6149
Spider-Man_Homecoming_2017,0.1822,4160,0.5158
Spider-Man_Homecoming_2017,0.0765,4992,0.6350
Spider-Man_Homecoming_2017,0.1787,5824,0.5247
Spider-Man_Homecoming_2017,0.1578,6656,0.6277
Spider-Man_Homecoming_2017,0.1758,7488,0.4973
Spider-Man_Homecoming_2017,0.0182,8320,0.5804
Spider-Man_Homecoming_2017,0.1462,9152,0.5232
Spider-Man_Homecoming_2017,0.1649,9984,0.6123
Spider-Man_Homecoming_2017,0.3124,10816,0.6223
Spider-Man_Homecoming_2017,0.1060,11648,0.5831
Spider-Man_Homecoming_2017,0.1770,12480,0.4721
