Name,Polarity,Length,Subjectivity
Spider-Man_No_Way_Home_2021,0.0989,791,0.6077
Spider-Man_No_Way_Home_2021,0.1800,1582,0.5165
Spider-Man_No_Way_Home_2021,0.1598,2373,0.6176
Spider-Man_No_Way_Home_2021,0.0493,3164,0.5538
Spider-Man_No_Way_Home_2021,0.1160,3955,0.5648
Spider-Man_No_Way_Home_2021,0.0466,4746,0.5478
Spider-Man_No_Way_Home_2021,-0.0048,5537,0.5469
Spider-Man_No_Way_Home_2021,0.0906,6328,0.4589
Spider-Man_No_Way_Home_2021,0.1162,7119,0.6090
Spider-Man_No_Way_Home_2021,0.2195,7910,0.5233
Spider-Man_No_Way_Home_2021,0.1921,8701,0.6295
Spider-Man_No_Way_Home_2021,0.2181,9492,0.5496
Spider-Man_No_Way_Home_2021,0.1582,10283,0.5065
Spider-Man_No_Way_Home_2021,0.2880,11074,0.5726
Spider-Man_No_Way_Home_2021,0.1963,11865,0.6007
