Name,Polarity,Length,Subjectivity
The_Avengers_2012,0.1688,684,0.6009
The_Avengers_2012,0.0277,1368,0.5496
The_Avengers_2012,-0.0020,2052,0.4834
The_Avengers_2012,0.0162,2736,0.5725
The_Avengers_2012,0.1436,3420,0.5049
The_Avengers_2012,0.0895,4104,0.6388
The_Avengers_2012,0.1218,4788,0.5739
The_Avengers_2012,0.1253,5472,0.6091
The_Avengers_2012,-0.0622,6156,0.5378
The_Avengers_2012,0.0127,6840,0.5110
The_Avengers_2012,-0.0005,7524,0.4885
The_Avengers_2012,0.1800,8208,0.4330
The_Avengers_2012,0.1724,8892,0.4522
The_Avengers_2012,-0.0201,9576,0.5966
The_Avengers_2012,0.0994,10260,0.5882
