Name,Polarity,Length,Subjectivity
The_Incredible_Hulk_2008,0.1659,313,0.4227
The_Incredible_Hulk_2008,-0.1961,626,0.6089
The_Incredible_Hulk_2008,0.0040,939,0.4847
The_Incredible_Hulk_2008,0.1809,1252,0.5577
The_Incredible_Hulk_2008,0.1955,1565,0.5831
The_Incredible_Hulk_2008,0.2184,1878,0.4008
The_Incredible_Hulk_2008,0.1213,2191,0.5307
The_Incredible_Hulk_2008,0.1708,2504,0.5194
The_Incredible_Hulk_2008,0.1538,2817,0.3308
The_Incredible_Hulk_2008,0.1036,3130,0.5205
The_Incredible_Hulk_2008,0.1277,3443,0.5841
The_Incredible_Hulk_2008,0.1917,3756,0.5679
The_Incredible_Hulk_2008,-0.2025,4069,0.7100
The_Incredible_Hulk_2008,0.1598,4382,0.5087
The_Incredible_Hulk_2008,-0.0426,4695,0.6004
