Name,Polarity,Length,Subjectivity
Thor_Ragnarok_2017,0.0493,615,0.4781
Thor_Ragnarok_2017,0.0129,1230,0.5874
Thor_Ragnarok_2017,0.2115,1845,0.6350
Thor_Ragnarok_2017,0.3181,2460,0.6707
Thor_Ragnarok_2017,0.1357,3075,0.5802
Thor_Ragnarok_2017,0.0536,3690,0.5381
Thor_Ragnarok_2017,0.2625,4305,0.5982
Thor_Ragnarok_2017,0.0224,4920,0.5920
Thor_Ragnarok_2017,-0.1274,5535,0.6835
Thor_Ragnarok_2017,0.1990,6150,0.5679
Thor_Ragnarok_2017,0.0056,6765,0.6104
Thor_Ragnarok_2017,0.3250,7380,0.5732
Thor_Ragnarok_2017,0.2196,7995,0.5660
Thor_Ragnarok_2017,0.1080,8610,0.6262
Thor_Ragnarok_2017,0.0993,9225,0.5800
