Name,Polarity,Length,Subjectivity
Thor_The_Dark_World_2013,-0.0076,420,0.6335
Thor_The_Dark_World_2013,0.1074,840,0.4675
Thor_The_Dark_World_2013,0.1548,1260,0.5393
Thor_The_Dark_World_2013,0.1942,1680,0.6199
Thor_The_Dark_World_2013,-0.0027,2100,0.6102
Thor_The_Dark_World_2013,-0.0045,2520,0.4979
Thor_The_Dark_World_2013,0.1177,2940,0.6443
Thor_The_Dark_World_2013,-0.0332,3360,0.4966
Thor_The_Dark_World_2013,-0.0135,3780,0.4086
Thor_The_Dark_World_2013,0.2261,4200,0.5697
Thor_The_Dark_World_2013,0.3075,4620,0.7161
Thor_The_Dark_World_2013,0.0599,5040,0.6241
Thor_The_Dark_World_2013,0.0820,5460,0.4875
Thor_The_Dark_World_2013,0.1913,5880,0.6303
Thor_The_Dark_World_2013,0.3691,6300,0.6065
